OID_,OID1,station_id,carrier_id,carrier_icon,open_time,is_public,auth,is_auth,elect_index,is_online,hasFast,hasSlow,is_network,is_ground,rate
1,,40,218,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.25
2,,42,218,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.166666667
3,,44,218,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.297297297
4,,46,218,,00:00-24:00,1,1,1,4,1,1,0,0,1,0
5,,48,218,,00:00-24:00,1,1,1,4,1,1,1,0,2,0.9
6,,50,218,,00:00-24:00,1,1,1,4,1,1,0,0,2,0.25
7,,52,218,,00:00-24:00,1,1,1,4,1,1,1,0,1,1
8,,54,218,,09:00-17:00,1,1,1,4,1,1,1,0,1,1
9,,56,218,,00:00-24:00,1,1,1,4,1,1,1,0,1,0.75
11,,60,218,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.769230769
12,,62,218,,00:00-24:00,1,1,1,4,1,1,0,0,2,1
13,,64,218,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.555555556
14,,66,218,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.5
15,,68,1,,00:00-24:00,1,1,1,4,1,0,1,0,2,0
16,,70,1,,00:00-24:00,1,1,1,4,2,1,1,0,1,0
17,,72,1,,00:00-24:00,1,1,1,4,1,1,1,0,2,1
18,,74,1,,08:00-20:00,1,1,1,4,1,1,1,0,1,0
19,,76,1,,00:00-24:00,1,1,1,4,1,1,1,0,2,1
20,,78,1,,08:00-18:00,1,1,1,4,1,0,1,0,1,0
21,,80,1,,00:00-24:00,1,1,1,4,1,1,0,0,2,0.75
22,,82,1,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.2
23,,84,1,,09:00-18:00,1,1,1,4,1,1,1,0,1,1
24,,88,1,,08:00-18:00,1,1,1,4,1,1,0,0,1,0
25,,90,1,,00:00-24:00,1,1,1,4,1,1,0,0,2,0.875
26,,92,1,,00:00-24:00,1,1,1,4,1,0,1,0,2,0
27,,94,1,,00:00-24:00,1,1,1,4,2,0,1,0,2,0
28,,96,1,,00:00-24:00,1,1,1,4,1,1,1,0,2,0
29,,98,1,,00:00-24:00,1,1,1,4,1,1,0,0,2,0
30,,100,1,,00:00-24:00,1,1,1,4,1,1,1,0,1,1
31,,102,1,,00:00-24:00,1,1,1,4,2,1,1,0,2,0
32,,104,1,,00:00-24:00,1,1,1,4,1,1,0,0,2,1
33,,106,1,,08:00-20:00,1,1,1,4,1,1,0,0,1,0.75
34,,108,1,,00:00-24:00,1,1,1,4,1,1,0,0,2,0.466666667
35,,112,1,,08:00-20:00,1,1,1,4,1,1,1,0,1,0.25
36,,114,1,,07:00-21:00,1,1,1,4,1,1,1,0,1,0
37,,116,1,,00:00-24:00,1,1,1,4,1,1,1,0,2,0
38,,118,1,,00:00-24:00,1,1,1,4,1,1,1,0,1,1
39,,120,1,,08:00-21:00,1,1,1,4,1,1,0,0,1,0
40,,122,1,,00:00-24:00,1,1,1,4,1,1,0,0,2,1
41,,124,1,,00:00-24:00,1,1,1,4,1,1,0,0,1,1
42,,128,1,,09:00-18:00,1,1,1,4,1,1,1,0,1,1
43,,132,1,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.75
44,,134,1,,00:00-24:00,1,1,1,4,1,1,1,0,1,0
45,,136,1,,08:00-20:00,1,1,1,4,1,0,1,0,1,0
46,,138,1,,00:00-24:00,1,1,1,4,1,1,1,0,2,0.411764706
47,,140,1,,08:00-20:00,1,1,1,4,2,1,1,0,1,0
48,,142,1,,00:00-24:00,1,1,1,4,1,0,1,0,2,0.9
49,,144,1,,00:00-24:00,1,1,1,4,1,0,1,0,2,1
50,,146,1,,00:00-24:00,1,1,1,4,2,1,1,0,2,0
51,,148,1,,08:00-18:00,1,1,1,4,2,1,1,0,2,0
52,,150,1,,00:00-24:00,1,1,1,4,1,1,1,0,2,0.181818182
53,,152,1,,00:00-24:00,1,1,1,4,1,1,1,0,2,0
54,,156,1,,00:00-24:00,1,1,1,4,1,0,1,0,2,0
55,,158,1,,00:00-24:00,1,1,1,4,1,1,1,0,2,1
56,,160,1,,00:00-24:00,1,1,1,4,1,1,1,0,1,0
57,,162,1,,00:00-24:00,1,1,1,4,1,1,1,0,2,1
58,,164,1,,07:00-19:00,1,1,1,4,1,1,1,0,1,0.833333333
59,,166,1,,00:00-24:00,1,1,1,4,1,1,1,0,1,1
60,,168,1,,00:00-24:00,1,1,1,4,1,1,1,0,1,1
61,,170,1,,00:00-24:00,1,1,1,4,1,1,1,0,2,1
62,,172,1,,00:00-24:00,1,1,1,4,1,1,1,0,2,1
63,,174,1,,00:00-24:00,1,1,1,4,1,1,1,0,1,0
64,,176,1,,00:00-24:00,1,1,1,4,2,1,1,0,2,0
65,,178,1,,08:00-21:00,1,1,1,4,1,1,1,0,2,0.875
66,,180,1,,00:00-24:00,1,1,1,4,2,1,0,0,1,0
67,,182,1,,00:00-24:00,1,1,1,4,1,1,1,0,1,0.6
68,,186,1,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.416666667
69,,188,1,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.388888889
70,,190,1,,00:00-24:00,1,1,1,4,1,1,0,0,1,0.6
