Station_ID,Community
40.0,5
42.0,7
44.0,5
46.0,5
48.0,7
50.0,7
52.0,17
54.0,3
56.0,218
60.0,5
62.0,9
64.0,5
66.0,7
68.0,156
70.0,156
72.0,36
74.0,156
76.0,40
78.0,156
80.0,156
82.0,156
84.0,37
88.0,156
90.0,156
92.0,39
94.0,39
96.0,58
98.0,39
100.0,71
102.0,39
104.0,65
106.0,94
108.0,39
112.0,94
114.0,39
116.0,90
118.0,75
120.0,94
122.0,86
124.0,79
128.0,83
132.0,90
134.0,18
136.0,18
138.0,218
140.0,18
142.0,218
144.0,116
146.0,218
148.0,218
150.0,58
152.0,58
156.0,156
158.0,119
160.0,58
162.0,144
164.0,58
166.0,137
168.0,138
170.0,112
172.0,127
174.0,18
176.0,39
178.0,18
180.0,18
182.0,18
186.0,58
188.0,58
190.0,58
192.0,107
200.0,218
204.0,58
206.0,18
208.0,58
212.0,58
214.0,147
216.0,20
218.0,18
220.0,156
222.0,90
224.0,90
226.0,90
228.0,31
230.0,156
232.0,156
234.0,166
236.0,167
238.0,156
240.0,90
242.0,156
244.0,161
248.0,170
250.0,173
252.0,173
254.0,173
256.0,173
258.0,173
260.0,173
262.0,173
264.0,173
266.0,173
268.0,173
270.0,173
272.0,173
274.0,173
276.0,173
286.0,192
288.0,194
290.0,94
292.0,203
294.0,206
296.0,169
300.0,208
302.0,253
304.0,253
306.0,253
310.0,253
312.0,218
324.0,5
326.0,7
328.0,5
330.0,218
332.0,5
334.0,7
336.0,16
338.0,5
340.0,5
342.0,1
344.0,5
346.0,217
348.0,26
350.0,5
352.0,23
354.0,218
356.0,7
358.0,5
360.0,228
362.0,218
364.0,218
366.0,238
368.0,233
370.0,238
372.0,238
374.0,94
376.0,238
378.0,238
380.0,238
382.0,238
384.0,234
386.0,238
388.0,95
424.0,90
426.0,90
428.0,5
430.0,5
432.0,5
434.0,5
436.0,5
438.0,18
440.0,48
442.0,173
444.0,58
454.0,58
456.0,156
458.0,18
462.0,18
464.0,94
466.0,173
468.0,156
470.0,58
472.0,21
474.0,5
476.0,248
496.0,139
506.0,58
510.0,218
512.0,156
514.0,169
516.0,94
518.0,18
520.0,218
522.0,253
