Station_ID,Community
40.0,5
358.0,5
548.0,5
342.0,1
2051.0,5
1104.0,5
46.0,5
56.0,215
54.0,3
1126.0,4
1128.0,5
2539.0,5
338.0,5
2071.0,215
1449.0,5
344.0,5
2983.0,215
354.0,215
2443.0,215
42.0,6
334.0,6
326.0,6
1795.0,6
2379.0,6
2593.0,6
1931.0,6
2511.0,6
2715.0,6
2997.0,7
2221.0,6
894.0,6
50.0,6
62.0,8
3031.0,9
1256.0,6
2881.0,6
2973.0,10
48.0,6
2323.0,6
66.0,6
44.0,5
2847.0,5
2017.0,5
2895.0,5
1825.0,5
1042.0,5
710.0,12
1098.0,5
1100.0,5
436.0,5
2559.0,5
1638.0,5
1767.0,5
328.0,5
430.0,5
1646.0,5
64.0,5
3099.0,5
324.0,5
1929.0,5
1606.0,5
1072.0,5
1763.0,5
2401.0,5
1765.0,5
748.0,5
432.0,5
1168.0,5
1142.0,5
2701.0,13
1102.0,5
2011.0,5
428.0,5
718.0,14
1863.0,6
1610.0,6
2801.0,6
336.0,15
2647.0,6
1170.0,6
2549.0,6
52.0,16
1977.0,5
438.0,17
1040.0,18
1038.0,5
216.0,19
724.0,17
640.0,17
174.0,17
1258.0,17
2783.0,17
60.0,5
2845.0,5
518.0,17
472.0,20
1166.0,17
2389.0,21
634.0,21
896.0,17
2809.0,21
1813.0,215
312.0,215
766.0,215
2349.0,215
352.0,22
3077.0,23
1911.0,215
2893.0,215
1927.0,5
510.0,215
1198.0,215
530.0,5
998.0,5
996.0,5
934.0,5
950.0,5
644.0,215
1396.0,17
754.0,24
2757.0,215
348.0,25
356.0,6
474.0,5
340.0,5
1614.0,5
1362.0,5
1050.0,5
1463.0,5
2143.0,5
1672.0,26
1406.0,6
2325.0,6
696.0,6
1781.0,6
604.0,6
2817.0,6
2795.0,6
68.0,152
2311.0,152
78.0,152
1228.0,152
1757.0,152
2755.0,152
796.0,28
90.0,152
82.0,152
910.0,29
770.0,152
1580.0,152
2459.0,152
778.0,152
738.0,152
228.0,30
232.0,152
2901.0,152
2793.0,152
554.0,152
840.0,152
1372.0,152
534.0,152
1314.0,152
74.0,152
1200.0,152
512.0,152
2461.0,152
660.0,152
70.0,152
2889.0,152
80.0,152
2595.0,152
2917.0,31
1068.0,17
1937.0,152
1386.0,17
136.0,17
544.0,17
2687.0,17
2933.0,152
1224.0,32
3045.0,33
2193.0,17
72.0,34
84.0,35
2465.0,36
798.0,37
76.0,38
964.0,152
546.0,39
1686.0,40
2313.0,37
3049.0,41
220.0,152
98.0,37
108.0,37
94.0,37
2677.0,37
830.0,37
2179.0,152
776.0,42
774.0,37
2545.0,37
1803.0,37
2683.0,152
682.0,37
92.0,37
2987.0,37
468.0,152
2073.0,43
2047.0,152
1493.0,152
870.0,37
3027.0,44
2935.0,45
440.0,46
2791.0,152
932.0,152
666.0,47
2943.0,48
1885.0,37
788.0,37
676.0,37
102.0,37
1422.0,37
2013.0,37
686.0,49
526.0,152
1632.0,17
1630.0,17
1688.0,50
88.0,152
466.0,51
948.0,52
1935.0,152
714.0,53
784.0,37
684.0,54
2685.0,37
2185.0,37
96.0,21
2833.0,21
454.0,21
1364.0,21
674.0,21
