Community,Modularity Contribution,Member Count,Average Position,Average Weight
0,0.07882540471853378,71,[ 401616.84565352 3380445.73641408],0.3225135954389368
1,0.0,1,[ 402544.6054 3377208.4182],0.0
2,0.0,1,[ 427622.3689 3392384.715 ],0.0
3,0.0,1,[ 406139.1329 3375959.1446],0.0
4,0.0,1,[ 402246.6776 3378318.6512],0.0
5,0.0,1,[ 431045.2508 3400616.8352],0.0
6,0.046544648625832484,56,[ 410471.60976071 3376107.9351375 ],0.29325730565078173
7,0.042927736407336374,30,[ 395689.61026333 3387287.50853   ],0.5507708257382428
8,0.0,1,[ 424161.279  3417473.4075],0.0
9,0.0,1,[ 396775.3454 3385419.5069],0.0
10,0.0,1,[ 397127.3544 3384817.4122],0.0
11,0.0,1,[ 394305.3736 3384658.8743],0.0
12,0.0,1,[ 399207.8604 3387391.0771],0.0
13,0.0,1,[ 400888.7737 3383198.0187],0.0
14,0.0,1,[ 406094.1628 3372386.2508],0.0
15,0.0,1,[ 393528.2893 3383749.2332],0.0
16,0.0,1,[ 395734.9718 3382327.8265],0.0
17,0.0,1,[ 405062.9322 3384990.7253],0.0
18,0.05139633355015578,46,[ 408919.05897174 3386820.94696087],0.34845804934476504
19,0.0,1,[ 405606.1888 3383486.0835],0.0
20,0.0,1,[ 406436.9161 3385967.9298],0.0
21,0.0,1,[ 407285.0866 3386240.874 ],0.0
22,0.08561433809380038,78,[ 402901.31260513 3391971.62916538],0.34719791409923
23,0.0,1,[ 408758.13   3376166.7568],0.0
24,0.0,1,[ 406878.5935 3379237.622 ],0.0
25,0.0,1,[ 406833.2909 3380337.5814],0.0
26,0.0,1,[ 397393.1576 3383603.9573],0.0
27,0.0,1,[ 396369.5057 3391164.7263],0.0
28,0.08654278308418806,88,[ 416353.48119432 3390776.18431477],0.3205738652779393
29,0.0,1,[ 415447.5872 3387179.0368],0.0
30,0.0,1,[ 415260.8147 3388354.6394],0.0
31,0.0,1,[ 417252.5162 3389523.8662],0.0
32,0.043909514550867466,38,[ 409543.70577368 3394568.90443684],0.42568050240929706
33,0.0,1,[ 412260.5538 3386684.4609],0.0
34,0.0,1,[ 412810.266  3389665.6724],0.0
35,0.0,1,[ 411406.4494 3388641.5243],0.0
36,0.0,1,[ 412210.2526 3394381.1643],0.0
37,0.0,1,[ 411785.3256 3394559.1842],0.0
38,0.0,1,[ 411659.5696 3393927.5254],0.0
39,0.0,1,[ 424413.9517 3418682.1892],0.0
40,0.0,1,[ 411261.6382 3394193.7849],0.0
41,0.0,1,[ 411269.4852 3393934.6952],0.0
42,0.0,1,[ 412973.069  3393464.8072],0.0
43,0.0,1,[ 411321.7996 3395278.1096],0.0
44,0.0,1,[ 411836.2289 3396046.86  ],0.0
45,0.0,1,[ 412391.7841 3392308.6748],0.0
46,0.0,1,[ 414100.0566 3395463.2963],0.0
47,0.0,1,[ 412110.5592 3392202.8462],0.0
48,0.0,1,[ 415677.6174 3384357.7153],0.0
49,0.0,1,[ 410017.8943 3393671.3828],0.0
50,0.0,1,[ 410049.6846 3393472.3332],0.0
51,0.0,1,[ 410816.2015 3396385.5629],0.0
52,0.0,1,[ 412087.6736 3396835.2924],0.0
53,0.054558924933611114,59,[ 426256.30222881 3381526.00664068],0.2971387789730445
54,0.0,1,[ 417739.1426 3382141.1141],0.0
55,0.0,1,[ 409644.5004 3396062.8781],0.0
56,0.0,1,[ 408757.4831 3394648.1905],0.0
57,0.0,1,[ 394795.1138 3400434.8057],0.0
58,0.0,1,[ 405275.9478 3393650.679 ],0.0
59,0.0,1,[ 404956.5563 3395662.2618],0.0
60,0.0,1,[ 405590.9754 3393671.4311],0.0
61,0.0,1,[ 405645.9521 3393401.0201],0.0
62,0.0,1,[ 406191.5439 3394753.4885],0.0
63,0.0,1,[ 403561.0213 3392605.9102],0.0
64,0.0,1,[ 405971.6755 3396327.085 ],0.0
65,0.0,1,[ 405884.7771 3392535.4661],0.0
66,0.0,1,[ 405177.5883 3397042.9966],0.0
67,0.0,1,[ 406134.982  3392296.4344],0.0
68,0.0,1,[ 411157.1337 3391779.198 ],0.0
69,0.0,1,[ 412152.4585 3392025.2233],0.0
70,0.0,1,[ 400610.8053 3397536.7332],0.0
71,0.07186316071045663,60,[ 405037.23175833 3402965.84136   ],0.40072946410723764
72,0.0,1,[ 401831.72   3395363.4827],0.0
73,0.0,1,[ 399871.3402 3394564.9399],0.0
74,0.0,1,[ 403120.0772 3399927.6969],0.0
75,0.0,1,[ 408820.9298 3397097.4784],0.0
76,0.0,1,[ 407301.0717 3395963.1944],0.0
77,0.0,1,[ 406605.9319 3398093.1489],0.0
78,0.0,1,[ 406487.934 3398198.152],0.0
79,0.0,1,[ 406896.8905 3398171.1689],0.0
80,0.0,1,[ 407001.2296 3398242.5304],0.0
81,0.0,1,[ 404911.0645 3398545.3464],0.0
