source,target,weight
0,3,0.75
0,8,0.1875
0,7,0.0
8,7,0.0
1,5,0.6249999999999998
1,4,0.08333333333333329
1,11,0.0
1,13,0.4166666666666665
5,4,0.07499999999999998
2,12,0.31231231231231216
6,10,0.0
14,19,1.0
14,24,0.125
14,21,0.8
19,24,0.125
19,21,0.8
24,23,0.125
24,21,0.1
21,15,0.8
21,17,0.8
15,20,0.25
15,17,1.0
20,17,0.25
20,44,0.25
16,22,0.0
16,18,0.0
16,28,0.0
16,33,0.0
22,18,0.0
22,28,0.0
22,33,0.0
22,26,0.0
18,28,0.0
18,26,0.0
18,33,0.0
28,25,1.0
28,26,1.0
33,25,0.533333333333333
33,26,0.533333333333333
33,30,0.533333333333333
33,42,0.13333333333333325
26,25,1.0
26,30,1.0
44,46,1.0
25,30,1.0
30,35,1.0
27,31,0.0
31,35,0.0
31,40,0.0
31,32,0.0
29,32,0.0
32,38,0.25
40,39,0.0
40,38,0.0
38,34,0.75
38,37,0.0
38,41,0.0
38,39,0.0
34,41,0.0
34,37,0.0
41,37,0.0
36,42,0.25
43,46,1.0
45,48,0.0
45,47,0.058823529411764684
48,47,0.0
