source,target,weight
0,140,0.75
0,222,0.30000000000000004
0,132,0.0
140,3,1.0
140,222,0.4
140,470,0.0625
140,777,0.125
222,3,0.4
222,470,0.025
222,777,0.05
132,777,0.0
132,478,0.0
132,479,0.0
132,470,0.0
1,128,0.833333333333333
1,124,0.7291666666666664
1,700,0.7142857142857139
1,855,0.027777777777777485
1,935,0.48076923076923067
128,124,0.875
128,855,0.03333333333333299
128,700,0.857142857142857
128,935,0.576923076923077
124,740,0.875
124,855,0.02916666666666637
124,990,0.525
700,935,0.49450549450549447
700,1120,0.0
700,908,0.857142857142857
855,5,0.024999999999999745
935,1120,0.0
935,829,0.4903846153846154
935,1063,0.4215976331360949
2,1048,0.4875896304467735
2,765,0.35135135135135154
2,1070,0.6525096525096532
2,708,0.7027027027027031
2,448,0.35135135135135154
2,282,0.0
2,467,0.03903903903903939
1048,448,0.346938775510204
1048,467,0.03854875283446744
1048,627,0.07227891156462604
1048,708,0.693877551020408
1048,765,0.346938775510204
1048,1070,0.6443148688046649
765,177,0.5
765,282,0.0
765,708,0.5
765,1070,0.4642857142857145
765,688,0.5
1070,177,0.928571428571429
1070,282,0.0
1070,708,0.928571428571429
1070,688,0.928571428571429
708,125,1.0
708,174,0.5
708,177,1.0
708,282,0.0
708,688,1.0
448,467,0.027777777777778012
448,627,0.05208333333333348
448,468,0.25
448,927,0.04999999999999999
282,927,0.0
282,468,0.0
282,629,0.0
282,688,0.0
467,627,0.005787037037037103
467,468,0.027777777777778012
467,1162,0.04027777777777811
467,927,0.005555555555555601
467,739,0.055555555555556024
3,130,0.25
130,983,0.0
130,787,0.04999999999999999
4,286,0.0
4,5,0.07499999999999998
4,1137,0.0
286,5,0.0
286,1137,0.0
286,718,0.0
5,1137,0.0
1137,718,0.0
6,484,0.0
6,756,0.0
6,864,0.0
6,178,0.0
6,301,0.0
484,301,0.08333333333333348
484,446,0.125
484,447,0.0
484,864,0.25
484,756,0.5
756,301,0.16666666666666696
756,491,0.235294117647059
756,864,0.5
864,301,0.08333333333333348
864,447,0.0
178,62,0.33333333333333304
178,77,0.0
178,289,0.13333333333333322
178,247,0.05797101449275361
178,521,0.29090909090909073
7,8,0.0
7,1113,0.0
7,705,0.0
8,1113,0.125
8,705,0.2375
1113,310,0.08333333333333348
1113,705,0.475
1113,787,0.09999999999999998
1113,983,0.0
705,118,0.6477272727272728
705,137,0.0
705,310,0.1583333333333336
705,851,0.8075
9,658,0.0
9,611,0.125
658,611,0.0
10,1047,0.10859728506787346
10,738,0.11538461538461547
10,446,0.05769230769230774
10,447,0.0
10,204,0.18461538461538476
10,502,0.09890109890109909
1047,204,0.3764705882352944
1047,214,0.38235294117647084
1047,446,0.1176470588235295
1047,447,0.0
1047,502,0.20168067226890793
1047,738,0.235294117647059
738,214,0.40625
738,402,0.3333333333333335
738,425,0.16666666666666652
738,426,0.16666666666666652
446,447,0.0
446,301,0.04166666666666674
447,301,0.0
204,502,0.34285714285714325
204,249,0.15000000000000002
11,829,0.0
11,1120,0.0
11,908,0.0
11,374,0.0
11,135,0.0
11,139,0.0
11,1063,0.0
829,374,0.85
829,1120,0.0
829,908,0.85
829,1063,0.6211538461538464
1120,374,0.0
1120,908,0.0
908,374,1.0
374,135,0.0
135,139,0.0
12,459,0.3888888888888885
12,927,0.04444444444444439
12,617,0.0555555555555555
12,175,0.04444444444444439
12,468,0.222222222222222
12,191,0.3555555555555552
459,175,0.08749999999999998
459,191,0.7000000000000001
459,617,0.109375
459,927,0.08749999999999998
459,468,0.4375
927,468,0.04999999999999999
927,617,0.012499999999999997
617,175,0.012499999999999997
617,191,0.1
617,686,0.075
617,1162,0.090625
175,191,0.07999999999999999
175,686,0.059999999999999984
175,543,0.07499999999999998
468,627,0.05208333333333348
191,576,0.8
13,841,0.5
13,642,0.0
13,559,0.5
13,842,0.5
841,231,1.0
841,642,0.0
841,990,0.6
642,275,0.0
642,559,0.0
642,842,0.0
642,695,0.0
559,275,1.0
559,842,1.0
559,695,1.0
559,520,0.19999999999999996
842,275,1.0
842,695,1.0
14,835,0.461538461538462
14,19,1.0
14,511,0.666666666666667
14,683,0.818181818181818
14,1009,0.714285714285714
14,21,0.8
14,382,0.0
835,19,0.461538461538462
835,511,0.30769230769230815
835,605,0.461538461538462
835,683,0.37762237762237794
835,1009,0.3296703296703299
19,511,0.666666666666667
19,24,0.125
19,1009,0.714285714285714
19,886,0.6923076923076921
19,605,1.0
511,24,0.08333333333333337
511,1009,0.47619047619047616
511,886,0.46153846153846156
511,605,0.666666666666667
683,83,0.0
683,85,0.292207792207792
683,223,0.4909090909090908
683,1024,0.35795454545454536
1009,24,0.08928571428571425
1009,605,0.714285714285714
1009,886,0.49450549450549414
15,1067,0.41666666666666696
15,20,0.25
15,548,0.25
15,17,1.0
15,936,0.35
1067,20,0.10416666666666674
1067,457,0.05952380952380963
1067,1080,0.0
1067,936,0.14583333333333343
20,1080,0.0
20,457,0.035714285714285754
20,743,0.1805555555555555
20,220,0.25
20,551,0.25
548,17,0.25
548,21,0.2
548,205,0.07142857142857151
548,257,0.04166666666666674
548,312,0.125
548,316,0.08333333333333326
548,325,0.0
548,347,0.04166666666666674
548,503,0.125
548,530,0.08333333333333326
17,257,0.16666666666666696
17,347,0.16666666666666696
17,530,0.33333333333333304
17,503,0.5
17,205,0.28571428571428603
17,316,0.33333333333333304
17,312,0.5
16,22,0.0
16,888,0.0
16,326,0.0
16,18,0.0
16,409,0.0
16,649,0.0
22,18,0.0
22,888,0.0
22,221,0.0
22,1146,0.0
22,836,0.0
888,18,0.0
888,28,0.0
888,221,0.0
888,326,0.0
888,342,0.0
326,18,0.0
326,221,0.0
326,342,0.666666666666667
326,649,0.0
326,817,0.666666666666667
18,221,0.0
18,28,0.0
18,26,0.0
409,79,0.26388888888888873
409,649,0.0
409,775,0.05555555555555561
409,587,0.16666666666666652
257,205,0.047619047619047755
257,503,0.08333333333333348
257,530,0.05555555555555561
257,347,0.027777777777777877
347,21,0.13333333333333358
347,205,0.047619047619047755
347,312,0.08333333333333348
347,316,0.05555555555555561
347,325,0.0
347,530,0.05555555555555561
347,503,0.08333333333333348
530,21,0.26666666666666644
530,205,0.09523809523809526
530,312,0.16666666666666652
530,316,0.11111111111111091
530,325,0.0
530,503,0.16666666666666652
503,179,0.0
503,205,0.14285714285714302
205,179,0.0
205,393,0.28571428571428603
205,1023,0.18571428571428591
316,21,0.26666666666666644
316,312,0.16666666666666652
316,325,0.0
221,26,0.0
221,28,0.0
221,342,0.0
28,26,1.0
28,362,0.5
28,342,1.0
28,260,0.0
26,25,1.0
26,362,0.5
26,922,0.19999999999999996
24,1073,0.046875
24,886,0.08653846153846151
886,212,0.3807692307692307
886,605,0.6923076923076921
886,1004,0.45546558704453405
1080,220,0.0
1080,457,0.0
1080,551,0.0
1080,743,0.0
457,220,0.14285714285714302
457,551,0.14285714285714302
457,743,0.10317460317460325
743,220,0.722222222222222
743,551,0.722222222222222
21,312,0.4
21,325,0.0
312,296,0.08333333333333348
312,325,0.0
312,382,0.0
325,296,0.0
325,382,0.0
1146,25,0.0
1146,33,0.0
1146,314,0.0
1146,315,0.0
1146,702,0.0
1146,836,0.0
1146,922,0.0
1146,971,0.0
1146,1115,0.0
836,33,0.4266666666666664
836,314,0.26666666666666644
836,315,0.0
836,702,0.5333333333333335
836,971,0.8
836,1115,0.1
23,393,1.0
23,1023,0.65
23,1073,0.375
23,179,0.0
23,187,1.0
393,179,0.0
393,1023,0.65
393,1073,0.375
1023,179,0.0
1023,1073,0.24375000000000002
179,742,0.0
25,922,0.19999999999999996
25,30,1.0
25,1115,0.125
25,33,0.533333333333333
25,284,0.0
922,33,0.10666666666666658
922,1115,0.024999999999999994
922,971,0.19999999999999996
30,319,0.5
30,269,0.0
30,567,1.0
30,284,0.0
1115,33,0.06666666666666662
1115,270,0.0
1115,284,0.0
1115,971,0.125
33,971,0.533333333333333
33,314,0.1777777777777775
33,315,0.0
33,702,0.3555555555555555
33,270,0.0
362,260,0.0
362,1093,0.0
362,725,0.035714285714285476
362,567,0.5
362,818,0.5
362,763,0.22499999999999998
27,1043,0.07692307692307698
27,182,1.0
27,544,0.8
27,264,0.09090909090909105
27,285,0.0
27,435,0.0
1043,182,0.07692307692307698
1043,217,0.00854700854700855
1043,264,0.0069930069930070095
1043,544,0.06153846153846159
1043,931,0.054945054945054965
182,224,1.0
182,524,0.0
182,435,0.0
182,280,0.0
182,285,0.0
544,264,0.07272727272727285
544,303,0.4
544,435,0.0
544,931,0.5714285714285712
264,217,0.01010101010101011
264,931,0.06493506493506501
285,52,0.0
285,280,0.0
285,962,0.0
285,450,0.0
342,265,0.19999999999999996
342,268,0.19999999999999996
