station_id,Community
44.0,0
2847.0,0
2017.0,0
2895.0,0
1825.0,0
1042.0,0
1098.0,0
52.0,1
1142.0,2
1977.0,2
2401.0,2
438.0,3
60.0,2
2845.0,2
1038.0,2
1040.0,4
68.0,5
2311.0,5
78.0,5
1228.0,5
1757.0,5
2755.0,5
70.0,6
2889.0,6
80.0,7
1372.0,6
74.0,6
72.0,8
84.0,9
2465.0,10
798.0,11
76.0,12
964.0,13
660.0,6
840.0,6
1314.0,6
512.0,6
1200.0,6
778.0,6
546.0,14
98.0,11
94.0,11
90.0,5
2459.0,5
2917.0,15
1068.0,7
1937.0,7
82.0,6
770.0,6
796.0,16
3049.0,17
2313.0,11
88.0,6
932.0,6
2791.0,6
2901.0,6
440.0,18
92.0,11
2545.0,11
102.0,11
2987.0,11
108.0,11
870.0,11
96.0,19
2833.0,19
454.0,19
1364.0,19
674.0,19
716.0,20
830.0,11
666.0,21
100.0,22
1855.0,19
444.0,19
2765.0,19
784.0,11
684.0,24
1422.0,11
714.0,25
104.0,26
930.0,27
1008.0,28
1016.0,29
1010.0,27
106.0,27
1521.0,27
1410.0,27
2677.0,11
774.0,11
776.0,30
1803.0,11
112.0,27
2321.0,27
120.0,27
664.0,27
2155.0,27
1064.0,27
516.0,27
1698.0,27
114.0,31
1457.0,32
1749.0,31
1477.0,31
2337.0,31
1654.0,31
116.0,33
1574.0,33
1483.0,33
1220.0,33
1312.0,33
1408.0,33
2805.0,33
118.0,34
1941.0,35
128.0,36
464.0,35
2689.0,35
2601.0,35
2887.0,35
3053.0,35
1692.0,37
122.0,38
2167.0,39
1694.0,40
1696.0,31
1006.0,41
2961.0,42
1028.0,31
1062.0,43
828.0,44
124.0,45
2487.0,31
132.0,46
2021.0,46
1252.0,46
1921.0,46
1688.0,47
1332.0,46
736.0,46
134.0,3
180.0,3
2569.0,3
1525.0,3
632.0,3
2333.0,3
2433.0,3
136.0,48
2687.0,48
2193.0,48
3045.0,49
178.0,48
1487.0,48
140.0,48
170.0,50
462.0,48
2517.0,48
600.0,48
2351.0,48
150.0,51
1328.0,51
1943.0,51
924.0,51
1178.0,52
3025.0,53
152.0,23
2691.0,23
918.0,23
1048.0,23
2967.0,55
538.0,23
156.0,11
2447.0,56
2935.0,57
