Community,number_of_members,average_occupied_rate,community_center_x,community_center_y,spatial_dispersion,community_modularity,community_contribution,average_edge_weight
10,70,0.5769957470469191,401665.37852857145,3380428.3193757143,3793.2715673402336,0.16859773821027615,0.07337865617859894,0.3183132994676998
5,31,0.742183130489582,395771.22104193555,3387106.135000001,3484.472987948397,0.09194682357062094,0.042607629602607125,0.5545878175723358
17,1,0.0,405062.9321999997,3384990.725299999,0.0,0.0,0.0,0.0
3,1,0.0,406139.1328999996,3375959.1446,0.0,0.0,0.0,0.0
220,57,0.5801969061542143,410424.9094649123,3376237.087201754,6055.298593263497,0.10070478752262793,0.04685558759364439,0.29785870534760295
8,1,0.0,397127.3543999996,3384817.4122,0.0,0.0,0.0,0.0
33,82,0.5680763906981039,416592.3240926829,3391025.5375670735,3938.584904802687,0.1813282922470855,0.07746843338002282,0.32923272971548134
23,50,0.5725007850000615,409481.8174940001,3386891.349116,2493.117596377137,0.1112689948866567,0.050304125425231924,0.3402905561633709
37,1,0.0,412210.2526000002,3394381.1643,0.0,0.0,0.0,0.0
41,1,0.0,411261.6381999999,3394193.7849000003,0.0,0.0,0.0,0.0
38,1,0.0,411785.3256000001,3394559.1842,0.0,0.0,0.0,0.0
58,38,0.6459220969089389,409543.70577368425,3394568.9044368416,2283.2911172885088,0.09020097202556822,0.04155946507854762,0.425680502409297
64,76,0.5879954372233517,402941.48235526314,3391750.133538158,3067.905293122293,0.18601495728021536,0.07825702640545233,0.35206491599664214
72,1,0.0,400610.80530000007,3397536.7332000006,0.0,0.0,0.0,0.0
66,1,0.0,405971.6754999999,3396327.085000001,0.0,0.0,0.0,0.0
73,63,0.6351838382227459,404950.7229253969,3402677.20711746,4025.026630463319,0.1598227363387007,0.0697270576860236,0.39922120235994646
200,36,0.6090353944161416,412302.79583888897,3399383.0491916668,2808.885022799319,0.08269512611438737,0.03842145232823143,0.40329983973533734
76,1,0.0,403120.0772000002,3399927.696900001,0.0,0.0,0.0,0.0
87,1,0.0,407157.14680000016,3398754.8741,0.0,0.0,0.0,0.0
80,1,0.0,406487.9340000004,3398198.1520000007,0.0,0.0,0.0,0.0
84,1,0.0,403467.4417000003,3399944.9976000004,0.0,0.0,0.0,0.0
116,1,0.0,410681.14759999973,3380616.4843000006,0.0,0.0,0.0,0.0
119,1,0.0,408550.36510000005,3388736.4057,0.0,0.0,0.0,0.0
145,1,0.0,402313.0948999999,3387722.3147,0.0,0.0,0.0,0.0
138,1,0.0,401903.0250000004,3389882.8201,0.0,0.0,0.0,0.0
139,1,0.0,402023.8508000001,3390812.1196,0.0,0.0,0.0,0.0
112,1,0.0,410173.5800000001,3387386.9202999994,0.0,0.0,0.0,0.0
128,1,0.0,406713.18790000025,3391060.0892,0.0,0.0,0.0,0.0
107,1,0.0,409855.2681,3385298.1131999996,0.0,0.0,0.0,0.0
148,1,0.0,400132.81460000016,3388643.5863000005,0.0,0.0,0.0,0.0
20,1,0.0,406436.9161,3385967.9298,0.0,0.0,0.0,0.0
32,1,0.0,417252.5162000004,3389523.8662,0.0,0.0,0.0,0.0
167,1,0.0,418670.52350000007,3391908.1783000007,0.0,0.0,0.0,0.0
168,1,0.0,418710.02859999985,3392024.5759999994,0.0,0.0,0.0,0.0
162,1,0.0,419545.06740000006,3396880.443600001,0.0,0.0,0.0,0.0
171,1,0.0,428815.0697999997,3384377.2300000004,0.0,0.0,0.0,0.0
54,59,0.5477118126694398,426256.30222881364,3381526.0066406783,4629.722581176906,0.11647931109988233,0.05415066622152703,0.2971387789730445
193,1,0.0,432646.64070000034,3415603.4365,0.0,0.0,0.0,0.0
195,34,0.4858333406507849,428119.5395882353,3405906.404364706,10214.333356883473,0.03185750881055824,0.015601885288527259,0.2458801031273864
205,1,0.0,419978.13239999954,3405957.1513,0.0,0.0,0.0,0.0
208,1,0.0,424963.66160000017,3410253.8144000005,0.0,0.0,0.0,0.0
170,43,0.6038355489050515,417397.2313023256,3409752.6160906977,3007.2895054231026,0.12750379431740008,0.0586801928588381,0.37728074456092775
210,1,0.0,387624.4094000002,3400684.3787,0.0,0.0,0.0,0.0
211,40,0.568851414108767,390221.9295175,3397595.7898725,3831.3959219247286,0.08358571251320779,0.03963002966326302,0.33141063345583
16,1,0.0,395734.9718000004,3382327.8265000004,0.0,0.0,0.0,0.0
1,1,0.0,402544.60539999977,3377208.4181999993,0.0,0.0,0.0,0.0
219,1,0.0,411204.72020000033,3365334.021299999,0.0,0.0,0.0,0.0
27,1,0.0,397393.1575999996,3383603.9573,0.0,0.0,0.0,0.0
24,1,0.0,408758.12999999995,3376166.7568,0.0,0.0,0.0,0.0
230,1,0.0,420326.7019999996,3363980.0943,0.0,0.0,0.0,0.0
231,47,0.5998356983025318,396169.5796574468,3410363.426219149,4884.220946552502,0.09884341878210613,0.04642377451156674,0.3336323146776867
235,1,0.0,401733.11780000007,3404668.6899999995,0.0,0.0,0.0,0.0
236,1,0.0,401401.18300000014,3404698.7575,0.0,0.0,0.0,0.0
96,1,0.0,401213.6286000004,3402014.8987000007,0.0,0.0,0.0,0.0
49,1,0.0,415677.61739999993,3384357.7153,0.0,0.0,0.0,0.0
21,1,0.0,407285.0866,3386240.874,0.0,0.0,0.0,0.0
250,1,0.0,398312.1486999998,3402100.673800001,0.0,0.0,0.0,0.0
140,1,0.0,401773.83980000013,3389302.7563000005,0.0,0.0,0.0,0.0
163,1,0.0,420655.78579999966,3396960.0439,0.0,0.0,0.0,0.0
42,1,0.0,411269.4852,3393934.6952,0.0,0.0,0.0,0.0
164,1,0.0,419670.3017999995,3394151.4804999996,0.0,0.0,0.0,0.0
14,1,0.0,431045.2507999996,3400616.8352000006,0.0,0.0,0.0,0.0
240,1,0.0,424413.9517000001,3418682.189200001,0.0,0.0,0.0,0.0
199,1,0.0,427912.2153000002,3410289.4339000005,0.0,0.0,0.0,0.0
188,1,0.0,422107.51989999966,3379734.2741,0.0,0.0,0.0,0.0
50,1,0.0,410017.89429999987,3393671.3828,0.0,0.0,0.0,0.0
113,1,0.0,409750.69369999965,3380952.8916,0.0,0.0,0.0,0.0
114,1,0.0,409281.06919999974,3381229.8647000007,0.0,0.0,0.0,0.0
111,1,0.0,410664.6534000002,3389188.1772000007,0.0,0.0,0.0,0.0
57,1,0.0,408757.48309999984,3394648.1905000005,0.0,0.0,0.0,0.0
52,1,0.0,410816.2015000004,3396385.5629,0.0,0.0,0.0,0.0
115,1,0.0,409681.33430000016,3380688.9013,0.0,0.0,0.0,0.0
153,1,0.0,408775.40660000034,3391795.181,0.0,0.0,0.0,0.0
136,1,0.0,409722.8691999996,3390198.7118999995,0.0,0.0,0.0,0.0
40,1,0.0,425299.29789999966,3392758.3455,0.0,0.0,0.0,0.0
61,1,0.0,405590.97539999994,3393671.4311,0.0,0.0,0.0,0.0
12,1,0.0,400888.7736999998,3383198.0187,0.0,0.0,0.0,0.0
56,1,0.0,409644.50040000025,3396062.8781000003,0.0,0.0,0.0,0.0
59,1,0.0,405275.94780000014,3393650.6789999995,0.0,0.0,0.0,0.0
15,1,0.0,393528.28930000024,3383749.2332000006,0.0,0.0,0.0,0.0
206,1,0.0,420505.49189999973,3407809.4735000003,0.0,0.0,0.0,0.0
103,1,0.0,414389.01910000015,3399185.9460000005,0.0,0.0,0.0,0.0
150,1,0.0,401102.52219999954,3392477.4887000006,0.0,0.0,0.0,0.0
149,1,0.0,401122.63590000005,3392486.9541,0.0,0.0,0.0,0.0
93,1,0.0,410133.94500000024,3398485.8344,0.0,0.0,0.0,0.0
238,1,0.0,400979.92090000026,3402193.405,0.0,0.0,0.0,0.0
125,1,0.0,405491.26209999993,3391818.9245999996,0.0,0.0,0.0,0.0
26,1,0.0,406833.2909000004,3380337.5813999996,0.0,0.0,0.0,0.0
133,1,0.0,412927.2127999999,3390994.4976000004,0.0,0.0,0.0,0.0
159,1,0.0,417013.2514000004,3390734.6406999994,0.0,0.0,0.0,0.0
70,1,0.0,411157.13370000006,3391779.198000001,0.0,0.0,0.0,0.0
142,1,0.0,400980.7170000002,3389399.8144000005,0.0,0.0,0.0,0.0
45,1,0.0,411836.22890000045,3396046.8599999994,0.0,0.0,0.0,0.0
202,1,0.0,410081.4649999999,3403725.4427000005,0.0,0.0,0.0,0.0
30,1,0.0,415447.5872,3387179.036800001,0.0,0.0,0.0,0.0
212,1,0.0,387632.5400999999,3397760.8314999994,0.0,0.0,0.0,0.0
253,1,0.0,419811.28500000015,3377247.0194000006,0.0,0.0,0.0,0.0
216,1,0.0,398881.3300999999,3375031.3747000005,0.0,0.0,0.0,0.0
217,1,0.0,398665.68429999985,3375109.2661000006,0.0,0.0,0.0,0.0
215,1,0.0,398960.41490000015,3375228.8509,0.0,0.0,0.0,0.0
79,1,0.0,406605.93190000014,3398093.1489000004,0.0,0.0,0.0,0.0
120,1,0.0,413911.01109999977,3381949.473200001,0.0,0.0,0.0,0.0
237,1,0.0,401027.1886,3403527.9601000007,0.0,0.0,0.0,0.0
135,1,0.0,410621.49010000005,3391121.8600999992,0.0,0.0,0.0,0.0
154,1,0.0,408869.4570000004,3391559.5133999996,0.0,0.0,0.0,0.0
85,1,0.0,417397.6266000001,3377856.9495,0.0,0.0,0.0,0.0
174,1,0.0,420185.0423999997,3412430.784499999,0.0,0.0,0.0,0.0
157,1,0.0,416667.3838999998,3372911.0668,0.0,0.0,0.0,0.0
22,1,0.0,416635.8104999997,3374063.7530000005,0.0,0.0,0.0,0.0
213,1,0.0,385170.9233999997,3398646.636,0.0,0.0,0.0,0.0
123,1,0.0,406245.23610000033,3390363.908399999,0.0,0.0,0.0,0.0
31,1,0.0,415260.8147,3388354.6394,0.0,0.0,0.0,0.0
160,1,0.0,418346.9195999997,3391153.0429,0.0,0.0,0.0,0.0
228,1,0.0,394030.1083000004,3375893.7348999996,0.0,0.0,0.0,0.0
227,1,0.0,394420.3033999996,3375570.7661000006,0.0,0.0,0.0,0.0
239,1,0.0,398931.4864999997,3403510.8945000004,0.0,0.0,0.0,0.0
127,1,0.0,406222.14190000016,3391404.3165000007,0.0,0.0,0.0,0.0
55,1,0.0,417739.1425999999,3382141.1141,0.0,0.0,0.0,0.0
184,1,0.0,426615.9133000001,3382763.0967,0.0,0.0,0.0,0.0
185,1,0.0,430223.8383,3381482.420499999,0.0,0.0,0.0,0.0
244,1,0.0,398038.9883000003,3406256.0704,0.0,0.0,0.0,0.0
243,1,0.0,397602.74280000007,3405910.1568,0.0,0.0,0.0,0.0
