Community,number_of_members,average_occupied_rate,community_center_x,community_center_y,spatial_dispersion,modularity_contribution,average_edge_weight
0,71,0.5829535534265399,401616.84565352113,3380445.736414084,3787.76055340922,0.1732656979180815,0.32251359543893676
7,30,0.7335892348392348,395689.6102633334,3387287.5085300007,3400.806090180447,0.08866063285893883,0.5507708257382427
6,56,0.5748262726756757,410471.6097607143,3376107.9351374996,6065.809933742342,0.09743244995547051,0.2932573056507817
28,88,0.5661494650696978,416353.4811943182,3390776.1843147725,3997.308615064705,0.19281825932944174,0.32057386527793924
32,38,0.6459220969089389,409543.70577368425,3394568.9044368416,2283.2911172885088,0.09020097202556822,0.425680502409297
22,78,0.5845639302860007,402901.3126051282,3391971.6291653845,3145.088929668973,0.18902329561963596,0.34719791409923
71,60,0.6351374745783276,405037.2317583334,3402965.84136,3935.4242444607958,0.15520188037089228,0.4007294641072376
83,36,0.6090353944161416,412302.79583888897,3399383.0491916668,2808.885022799319,0.08269512611438737,0.40329983973533734
18,46,0.5927631030884037,408919.0589717392,3386820.9469608683,2324.3022888243017,0.10642017319914149,0.34845804934476504
53,59,0.5477118126694398,426256.30222881364,3381526.0066406783,4629.722581176906,0.11647931109988233,0.2971387789730445
255,34,0.4858333406507849,428119.5395882353,3405906.404364706,10214.333356883473,0.03185750881055824,0.2458801031273864
166,43,0.6038355489050515,417397.2313023256,3409752.6160906977,3007.2895054231026,0.12750379431740008,0.37728074456092775
207,40,0.568851414108767,390221.9295175,3397595.7898725,3831.3959219247286,0.08358571251320779,0.33141063345583
237,47,0.5998356983025318,396169.5796574468,3410363.426219149,4884.220946552502,0.09884341878210613,0.3336323146776867
