Community,Modularity Contribution,Member Count,Average Position,Average Weight
0,0.040091478740336715,40,[ 390221.9295175 3397595.7898725],0.33141063345583005
2,0.046544648625832484,56,[ 410471.60976071 3376107.9351375 ],0.29325730565078173
5,0.07708573486576709,70,[ 401665.37852857 3380428.31937571],0.3183132994676998
7,0.04991001220876847,42,[ 396743.84022619 3389307.22773095],0.48180696076724955
19,0.055376522508064664,51,[ 409449.03073725 3386824.25605098],0.3430594346889999
55,0.054558924933611114,59,[ 426256.30222881 3381526.00664068],0.2971387789730445
59,0.043909514550867466,38,[ 409543.70577368 3394568.90443684],0.42568050240929706
95,0.0733673044659207,62,[ 405117.4290871  3402871.93196935],0.3972444392307832
101,0.03918384055332997,34,[ 412583.93977353 3399343.54324706],0.4054714337191127
129,0.08016328138820289,68,[ 403512.95383235 3391369.26964706],0.3711573926495622
158,0.08228611829929287,82,[ 416592.32409268 3391025.53756707],0.32923272971548134
171,0.059350225223108316,43,[ 417397.23130233 3409752.6160907 ],0.3772807445609278
196,0.01572713292985075,34,[ 428119.53958824 3405906.40436471],0.24588010312738642
241,0.04692400605964044,47,[ 396169.57965745 3410363.42621915],0.3336323146776868
